"selection1_name","selection1_selection2","selection1_selection3"
"Samsaram","L. V. Prasad","N. T. Rama Rao, Akkineni Nageswara Rao |C.V.Ranganath Das |"
"Sri Lakshmamma Katha","Ghantasala Balaramaiah","Akkineni Nageshwara Rao, G. Varalakshmi, Siva Rao Kasturi, Anjali Devi"
"Sri Saibaba","",""
"Swapna Sundari","Ghantasala Balaramaiah","Akkineni Nageshwara Rao, Anjali Devi, S. Varalakshmi, Siva Rao Kasturi"
"Thirugubatu","",""
"Vaali – Sugreeva","",""
"Aada Janma","",""
"Agni Pariksha","",""
"Akasha Raju","",""
"Chandravanka","",""
"Dheeksha","K. S. Prakash Rao","G. Varalakshmi"
"Jeevitha Nauka","",""
"Malleshwari","B. N. Reddi","N. T. Rama Rao, Bhanumati Ramakrishna"
"Mangala","",""
"Mantra Dandam","",""
"Maya Pilla","",""
"Mayalamari","",""
"Navvithe Navaratnalu","",""
"Nirdoshi","H. M. Reddy","Anjali Devi, Mukkamala Krishna Murthy, G. Varalakshmi"
"Patala Bhairavi","Kadri Venkata Reddy","N. T. Rama Rao, S. V. Ranga Rao, K. Malathi, Padmanabham, Savitri, Relangi Venkata Ramaiah"
"Pelli Kuthuru","",""
"Penki Pellam","",""
"Perantalu","",""
"Rupavati","",""
"Sarvadikari","",""
"Soudhamini","",""
"Sthree Sahasam","",""
"Thilottama","",""
"Aada Brathuku","",""
"Aadarsham","",""
"Aakali","",""
"Athinti Kapuram","",""
"Chinna Kodalu","",""
"Chinnamma Katha","",""
"Daasi","N.T.Rama Rao, Lakshmi Rajyam|",""
"Dharma Devatha","P. Pullaiah","P. Santha Kumari, Mudigonda Lingamurthy, Mukkamala, Relangi Venkata Ramaiah"
"Kanchana","S. M. Sriramulu Naidu","K. R. Ramaswamy, Padmini"
"Manavathi","",""
"Maradalu Pilla","",""
"Palletooru","Tatineni Prakash Rao","N. T. Rama Rao, S. V. Ranga Rao, Savitri"
"Pedha Raithu","",""
"Pelli Chesi Choodu","L. V. Prasad","N. T. Rama Rao, S. V. Ranga Rao, Savithri, C. S. R. Anjaneyulu Chilakalpudi"
"Praja Seva","",""
"Prema","P. S. Ramakrishna Rao","Akkineni Nageswara Rao, Bhanumathi Ramakrishna"
"Priyuralu","",""
"Rajeshwari","",""
"Sahasam","",""
"Sankranti","",""
"Savati Poru","",""
"Shanti","",""
"Tingu Ranga","B. A. Subba Rao","N. T. Rama Rao"
"Aapeksha","",""
"Amarakavi","",""
"Ammalakkalu","",""
"Brathuku Theruvu","P. S. Ramakrishna Rao","Akkineni Nageshwara Rao, S. V. Ranga Rao, Savithri, Sriranjani, Suryakantham, Relangi Venkata Ramaiah"
"Chandirani","Bhanumati","Bhanumati, N. T. Rama Rao,"
"Devadasu","Vedantam Raghavaiah","Lalitha|"
"Gumastha","",""
"Kanna Talli","K. S. Prakash Rao","G. Varalakshmi, R. Nageswara Rao, Akkineni Nageswara Rao, M. N. Nambiar"
